Structure Id,DFRP Structure Number,TC Identifier,Structure Name,Structure Name (fr),DFRP Reportable,Structure Status,Structure Status,Structure Status (fr),Structure Type,Structure Type,Structure Type (fr),Surplus,Parent Asset No.,Structure Condition,Structure Condition,Structure Condition (fr),Construction Year,Date Placed In Service,Date Decommissioned,Custodian,Custodian Name,Custodian Name,Interest Type Code,Interest Type,Interest Type (fr),Security Code,Security Code,Security Code (fr),Outdoor Parking Spaces,Transferee Custodian,Transferee Custodian Name,Transferee Custodian Name (fr),Archive Type Code,Archive Type Code,Archive Type Code (fr),Structure Use,Structure Use (fr),Partial Space Used,Heritage Designation,Heritage Designation,Heritage Designation (fr),Decision Date,Has ODS Equipment,Wastewater Issue,Waste Program,Hazardous Waste Program,Drinking Water Issue,Green Building Standard,Asbestos Status (EN),Asbestos Status (FR),Asbestos Remark,Asbestos Management Plan (EN),Asbestos Management Plan (FR),Address,Adresse (fr),City,Postal Code,Province Id,Province Name,Province Name (fr),Description,Description (fr),Floor Area (m²),Number of Floors,Indoor Parking Spaces,Area Includes Interior Parking,Outdoor Parking Spaces,has_geometry_ind
15,112103,22,"Quonset Hut, 1a Old Airport Rd.","Hutte Quonset, 1a - ancienne route Airport",1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017183,1,Good,Bon/moyen,1969,1983-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,1a Old Airport Road,1a Ancienne route de l'Aéroport,Wabush ,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,322,1,0,0,,1
17,112104,37,Combined Services Building,Services Généraux,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017035,1,Good,Bon/moyen,1978,1983-09-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,250 Maple Hills Avenue,250 avenue Maple Hills,Charlottetown,,11,Prince Edward Island,Île-du-Prince-Édouard,...,...,2188,1,0,0,,1
18,112105,40,Air Terminal Building,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017032,1,Good,Bon/moyen,1984,1989-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,250 Maple Hills Avenue,250 avenue Maple Hills,Charlottetown,,11,Prince Edward Island,Île-du-Prince-Édouard,...,...,4494,1,0,0,,1
19,112106,56,Grey Storage Bldg,Edifice entrepôt Grey,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017033,1,Good,Bon/moyen,1977,1977-09-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Waste/garbage treatment facility,Installation de traitement des déchets/ordures,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,250 Maple Hills Avenue,250 avenue Maple Hills,Charlottetown,,11,Prince Edward Island,Île-du-Prince-Édouard,...,...,22,1,0,0,,1
24,112110,,Salt Storage Shed,Remise à sel,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016419,2,Fair,Passable,1999,1999-03-31 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,"128 Goudey Drive, Halifax","128 promenade Goudey, Halifax",Halifax,,12,Nova Scotia,Nouvelle-Écosse,...,...,110,1,0,0,,1
26,112112,1,Air Terminal Building,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130048353,1,Good,Bon/moyen,1978,1978-03-31 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,"1 Bell Boulevard, Halifax",1 boulevard Bell,Halifax,,12,Nova Scotia,Nouvelle-Écosse,...,...,66996,1,0,0,,1
33,112119,90,South Gate Guardhouse,Guérite Porte sud,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016326,1,Good,Bon/moyen,1994,1994-03-31 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Operation/control centre,Poste de surveillance/centre des opérations,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,"447 Cygnet Drive, Halifax","447 promenade Cygnet, Halifax",Halifax,,12,Nova Scotia,Nouvelle-Écosse,...,...,20,1,0,0,,1
34,112120,92,Firehall,Caserne,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016324,1,Good,Bon/moyen,1982,1982-03-31 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Emergency services,Service d’urgence,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,"452 Cygnet Drive, Halifax","452 promenade Cygnet, Halifax",Halifax,,12,Nova Scotia,Nouvelle-Écosse,...,...,637,1,0,0,,1
35,3875,1,Terminal,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017943,1,Good,Bon/moyen,1951,1981-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Yes,Oui,,No,Non,4180 Loch Lomond Road,4180 route Loch Lomond,Saint John,,13,New Brunswick,Nouveau-Brunswick,...,...,3631,1,0,0,,1
36,112121,28,Carpenter Shop,Atelier de menuiserie,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017934,1,Good,Bon/moyen,1962,1977-11-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,Highway 111,Route 111,Saint John,,13,New Brunswick,Nouveau-Brunswick,...,...,183,1,0,0,,1
37,112122,78,Combined Services Building,Services Généraux,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017935,1,Good,Bon/moyen,1979,1982-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,Highway 111,Route 111,Saint John,,13,New Brunswick,Nouveau-Brunswick,...,...,2532,1,0,0,,1
39,112123,27,Hangar,Hangar,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017113,1,Good,Bon/moyen,1942,1977-11-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Hangar,Hangar avion,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,Champlain Street,rue Champlain,Moncton,,13,New Brunswick,Nouveau-Brunswick,...,...,3729,1,0,0,,1
40,112124,03-Feb,Maintenance Garage / Htg Plant,Garage d'entretien / Chauffage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017104,1,Good,Bon/moyen,1939,1980-04-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,"1655 Champlain Street, Dieppe","1655 rue Champlain, Dieppe",Moncton,,13,New Brunswick,Nouveau-Brunswick,...,...,3683,1,0,0,,1
43,112127,78,Air Terminal Building,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017095,1,Good,Bon/moyen,1964,1972-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Yes,Oui,,No,Non,1575 Champlain Street,1575 rue Champlain,Moncton,,13,New Brunswick,Nouveau-Brunswick,...,...,769,1,0,0,,1
44,112128,95,Firehall Building,Caserne,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017107,1,Good,Bon/moyen,1970,1979-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Emergency services,Service d’urgence,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Yes,Oui,,No,Non,1645 Champlain Street,1645 rue Champlain,Moncton,,13,New Brunswick,Nouveau-Brunswick,...,...,459,1,0,0,,1
45,5031,102,Administration Building,Edifice Administratif,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017856,1,Good,Bon/moyen,1983,2000-11-01 0:00,,174,Transport Canada (Port Programs),Transports Canada (Programmes portuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Work in progress,Travail en cours,,,,264 du Quai road,"264, chemin du Quai",Cap-aux-Meules,G4T 1J4,24,Quebec,Québec,...,...,574,1,0,0,,1
46,113817,102,Old Port Master Office,Ancien bureau du maître de port,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,1,130017850,3,Poor,Piètre qualité,1977,1999-12-01 0:00,,174,Transport Canada (Port Programs),Transports Canada (Programmes portuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Work in progress,Travail en cours,,,,261 Quai road,"261, chemin du Quai",Cap-aux-Meules,,24,Quebec,Québec,...,...,85,1,0,0,,1
48,113819,102,CTMA Storage,Entrepôt CTMA,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017849,2,Fair,Passable,1977,1991-06-01 0:00,,174,Transport Canada (Port Programs),Transports Canada (Programmes portuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Work in progress,Travail en cours,,,,240 Quai road,"240, chemin du Quai",Cap-aux-Meules,G4T 1J4,24,Quebec,Québec,...,...,1006,1,0,0,,1
49,5045,,Storage,Entrepôt,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,,2,Fair,Passable,1995,,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,210 Airport road,210 chemin de l'Aéroport,Iles-de-la-Madeleine,G4T 5L2,24,Quebec,Québec,...,...,192,1,0,0,,1
50,112129,,Air Terminal Building,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018027,1,Good,Bon/moyen,1982,1982-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,210 Airport road,210 chemin de l'Aéroport,Iles-de-la-Madeleine,G4T 5L2,24,Quebec,Québec,...,...,1009,1,0,0,,1
51,112130,,Garage,Garage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018040,1,Good,Bon/moyen,1969,1969-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,210 Airport road,210 chemin de l'Aéroport,Iles-de-la-Madeleine,G4T 5L2,24,Quebec,Québec,...,...,549,1,0,0,,1
52,5098,144,Administration Office,Bureau Administratif,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017859,1,Good,Bon/moyen,1985,2001-03-01 0:00,,174,Transport Canada (Port Programs),Transports Canada (Programmes portuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,,,,,,446 René-Lévesque West,446 René-Lévesque Ouest,Chandler,G0C 1K0,24,Quebec,Québec,...,...,86,1,0,0,,1
62,112132,Q-75B,International Airport (3 étages),Aérogare internationale (3 étages),1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018930,1,Good,Bon/moyen,1996,1997-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,No,Non,,Not Applicable,(fr) Not Applicable,500 rue principale,500 rue principale,Quebec,G2G 2T2,24,Quebec,Québec,...,...,7500,3,0,0,,1
64,112134,Q-85,Public Parking Booths,Guérites de sortie du stationnement public,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018964,2,Fair,Passable,1996,1997-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Shelter – equipment, machinery, or supplies","Abri-équipement,machinerie,fournitures",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,"400, rue Principale","400, rue Principale",Quebec,,24,Quebec,Québec,...,...,20,1,0,0,,1
68,112138,T-24,Vehicle Storage,Entrepôt des véhicules ,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018960,2,Fair,Passable,1991,1991-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,"203, 5e rue de l’Aéroport","203, 5e rue de l’Aéroport",Quebec,G2G 2T9,24,Quebec,Québec,...,...,343,1,0,0,,1
70,112140,T-38,Pumphouse,Station de pompage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130018937,2,Fair,Passable,1972,1972-07-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Water treatment facility,Installation de traitement de l'eau,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,"377, 3e avenue de l’Aéroport","377, 3e avenue de l’Aéroport",Quebec,,24,Quebec,Québec,...,...,36,1,0,0,,1
74,6741,ECL1-19 _M900100,Administration Building,Bâtiment administratif,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016549,1,Good,Bon/moyen,1968,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Office,Bureau,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,St Lambert - 151 Ecluse Street,St Lambert - 151 rue de L'Ecluse,St Lambert,J4R 2V6,24,Quebec,Québec,...,...,1954,4,0,0,,1
75,113892,BRO-1 / M900111,Maintenance Centre Building,Bâtiment du centre d'entretien,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130658329,1,Good,Bon/moyen,1997,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,Brossard - South Shore Canal,Brossard - Canal Rive Sud,Brossard,,24,Quebec,Québec,...,...,4138,1,0,0,,1
76,113893,BRO-7 / M900120,Storage and Mechanical ,Entrepôt du magasin et mécanique,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130016550,1,Good,Bon/moyen,1977,1998-09-30 0:00,,175,Transport Canada (St. Lawrence Seaway),Transports Canada (Voie maritime du Saint-Laurent),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Vehicle/equipment storage,Entreposage des véhicules/de l'équipement,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Work in progress,Travail en cours,,Yes,Oui,Brossard - South Shore Canal,Brossard - Canal Rive Sud,Brossard,,24,Quebec,Québec,...,...,658,1,0,0,,1
